,County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Percent of Votes,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area,Democratic,Republic,Party
1152,Polk,GA,390,Republican,6.5,403,Democrat,29.3,0,Republican,0.0,0,Republican,0.0,3360,Republican,55.6,944,Democrat,68.6,0,Republican,0.0,177,Republican,2.9,944,Republican,15.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1091,Republican,18.0,0,0.0,0,0.0,41133,41475,-0.8,6.8,26.0,14.9,50.9,83.6,13.0,0.7,0.8,0.2,1.6,13.0,72.1,2804,8.1,72.7,13.1,16940,10.5,70.8,107900,10,14645,2.78,85.5,13.1,26.6,39208,18336,23.4,351,6986,0,3146,7592,133.6,310.33,1347,5962,0
1153,Jackson,OK,179,Republican,7.6,652,Democrat,49.8,0,Republican,0.0,0,Republican,0.0,753,Republican,31.9,505,Democrat,38.6,0,Republican,0.0,95,Republican,4.0,434,Republican,18.4,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,879,Republican,37.2,0,0.0,0,0.0,25998,26446,-1.7,8.3,25.7,13.7,50.3,83.9,7.8,2.5,1.6,0.3,3.9,22.6,64.0,3400,5.9,84.2,20.1,12137,9.5,61.8,87400,27,10455,2.44,81.4,15.5,13.6,42824,22925,16.5,409,3570,0,3501,13604,32.9,802.65,1157,2340,0
1154,Bent,CO,0,Republican,0.0,24,Democrat,44.4,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,26,Democrat,48.1,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,0.0,0,0.0,5630,6499,-13.4,3.7,16.2,16.9,35.6,86.5,7.2,3.2,1.3,0.1,1.7,31.8,58.0,614,5.9,79.4,8.8,2217,5.1,63.5,75500,0,1873,2.17,85.6,17.8,17.7,37340,15081,19.1,29,0,0,164,2838,4.3,1512.86,50,0,1
1155,Hamlin,SD,0,Republican,0.0,125,Democrat,40.8,0,Republican,0.0,0,Republican,0.0,489,Republican,60.8,181,Democrat,59.2,0,Republican,0.0,119,Republican,14.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,196,Republican,24.4,0,0.0,0,0.0,5989,5903,1.5,9.5,31.3,17.5,49.8,97.9,0.5,0.5,0.3,0.0,0.7,3.3,94.9,421,2.0,89.2,18.2,2832,5.6,77.7,108100,26,2041,2.79,88.3,5.0,20.2,55563,25233,7.2,23,0,807,490,8750,11.6,507.23,306,804,0
1156,Del Norte,CA,0,Republican,0.0,1323,Democrat,55.4,0,Republican,0.0,0,Republican,0.0,1536,Republican,78.6,1015,Democrat,42.5,0,Republican,0.0,118,Republican,6.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,174,Republican,8.9,0,0.0,0,0.0,27212,28610,-4.9,5.8,21.2,15.6,45.2,78.6,3.5,9.0,3.7,0.2,5.0,19.0,63.3,2770,6.5,79.1,14.0,11336,12.1,60.2,198400,9,9593,2.58,78.5,15.3,14.2,37909,19072,21.8,321,0,0,2062,7176,28.4,1006.37,2338,1828,1
1157,Warren,MS,0,Republican,0.0,612,Democrat,14.9,0,Republican,0.0,0,Republican,0.0,2987,Republican,50.2,3463,Democrat,84.4,0,Republican,0.0,656,Republican,11.0,364,Republican,6.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1824,Republican,30.7,0,0.0,0,0.0,47983,48773,-1.6,6.5,24.8,14.6,52.4,49.6,48.2,0.3,0.9,0.0,1.0,2.0,48.1,2786,1.6,83.4,24.7,21878,18.0,64.9,103600,7,18404,2.6,90.3,3.1,18.3,41025,22362,24.4,3845,18567,0,6065,12405,82.9,588.5,4075,5831,0
1158,New London,CT,0,Republican,0.0,1343,Democrat,52.9,0,Republican,0.0,0,Republican,0.0,268,Republican,55.7,1156,Democrat,45.6,0,Republican,0.0,137,Republican,28.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,58,Republican,12.1,0,0.0,0,0.0,273676,274055,-0.1,5.1,20.3,16.0,49.9,83.9,6.9,1.1,4.5,0.2,3.5,9.9,76.3,25314,8.6,90.5,31.3,121248,27.8,67.5,252900,646,107066,2.44,85.2,13.9,22.8,66583,33782,8.7,34446,0,0,38829,14682,412.2,664.88,2499,463,1
1159,Chilton,AL,1149,Republican,10.8,289,Democrat,24.6,0,Republican,0.0,0,Republican,0.0,5273,Republican,49.3,860,Democrat,73.1,0,Republican,0.0,218,Republican,2.0,1436,Republican,13.4,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2328,Republican,21.8,0,0.0,0,0.0,43931,43643,0.7,6.4,24.2,15.2,50.8,87.1,10.6,0.5,0.4,0.2,1.2,7.7,80.3,3308,5.2,76.0,12.9,19221,4.1,74.5,102600,78,16232,2.67,88.8,7.4,31.8,41250,20701,19.5,340,0,1551,3599,8496,63.0,692.85,1149,10404,0
1160,Esmeralda,NV,7,Republican,9.5,15,Democrat,68.2,0,Republican,0.0,0,Republican,0.0,46,Republican,62.2,7,Democrat,31.8,0,Republican,0.0,3,Republican,4.1,8,Republican,10.8,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,9,Republican,12.2,0,0.0,0,0.0,822,783,4.8,3.2,17.0,26.0,43.4,89.9,1.9,4.9,0.5,0.0,2.8,19.2,71.2,108,13.1,83.3,13.9,829,14.9,55.5,81400,0,479,2.0,86.5,15.3,17.2,30284,20862,22.3,0,0,0,0,0,0.2,3581.88,22,73,0
1161,Ashtabula,OH,0,Republican,0.0,4256,Democrat,43.9,0,Republican,0.0,0,Republican,0.0,6127,Republican,44.2,5320,Democrat,54.9,0,Republican,0.0,5250,Republican,37.9,310,Republican,2.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1833,Republican,13.2,0,0.0,0,0.0,99175,101497,-2.3,5.7,22.6,17.4,49.7,93.4,3.8,0.3,0.5,0.0,2.0,3.8,90.1,9241,1.4,85.1,12.6,45853,15.2,72.5,110800,91,38952,2.5,86.9,5.7,25.0,40516,20011,18.7,1106,22014,0,10775,10627,144.6,701.93,9576,13520,0
