,County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Percent of Votes,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area,Democratic,Republic,Party
0,Clinton,IN,0,Republican,0.0,1046,Democrat,59.1,0,Republican,0.0,0,Republican,0.0,3252,Republican,49.2,724,Democrat,40.9,0,Republican,0.0,474,Republican,7.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2637,Republican,39.9,0,0.0,0,0.0,32776,33224,-1.3,6.9,26.3,15.8,50.5,97.8,0.6,0.4,0.3,0.0,0.9,14.9,83.4,2051,6.5,84.7,13.0,13248,12.7,72.1,97300,24,11745,2.76,84.7,12.5,22.1,48953,21554,13.9,250,22834,0,2235,6579,82.0,405.07,1770,6363,0
1,Cass,NE,0,Republican,0.0,151,Democrat,53.4,0,Republican,0.0,0,Republican,0.0,1811,Republican,60.6,132,Democrat,46.6,0,Republican,0.0,283,Republican,9.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,673,Republican,22.5,0,0.0,0,0.0,25524,25241,1.1,6.0,24.6,16.1,49.6,97.0,0.5,0.5,0.5,0.1,1.5,3.1,94.3,3091,1.3,94.0,23.6,11250,6.8,79.2,146700,63,9701,2.57,90.7,3.4,27.0,64697,29638,6.4,142,0,990,1836,7196,45.3,557.45,283,2767,0
2,Walton,GA,1046,Republican,5.5,969,Democrat,29.4,0,Republican,0.0,0,Republican,0.0,7910,Republican,41.6,2309,Democrat,69.9,0,Republican,0.0,539,Republican,2.8,3440,Republican,18.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,5883,Republican,30.9,0,0.0,0,0.0,87615,83768,4.6,6.2,25.9,14.2,51.3,79.6,17.0,0.4,1.4,0.1,1.5,3.9,76.5,5764,4.4,83.1,18.4,32544,9.3,75.1,157100,271,29520,2.84,86.9,6.4,31.3,52369,22824,13.8,583,5918,2604,7971,9577,257.2,325.68,3278,18818,0
3,Norfolk,MA,38,Republican,2.2,956,Democrat,55.3,0,Republican,0.0,0,Republican,0.0,712,Republican,41.1,760,Democrat,43.9,0,Republican,0.0,420,Republican,24.2,363,Republican,21.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,153,Republican,8.8,6,0.3,0,0.0,692254,670850,3.2,5.4,21.6,15.7,52.1,80.9,6.9,0.2,10.2,0.0,1.8,4.0,77.8,38108,15.5,93.7,49.2,272940,37.2,69.3,391100,1594,257451,2.56,88.7,19.0,31.5,84916,44692,6.6,12940,103407,123988,112414,17133,1693.6,396.11,1716,1686,1
4,Beaver,PA,0,Republican,0.0,9563,Democrat,41.8,0,Republican,0.0,0,Republican,0.0,11178,Republican,57.5,12963,Democrat,56.7,0,Republican,0.0,3572,Republican,18.4,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,4331,Republican,22.3,0,0.0,0,0.0,169392,170539,-0.7,5.1,19.7,19.7,51.6,91.1,6.4,0.1,0.5,0.0,1.8,1.4,89.9,15600,1.8,91.0,21.9,78381,17.0,73.4,115400,141,70867,2.35,89.7,3.5,25.1,49217,26258,12.2,1563,47088,11800,15552,8989,392.3,434.71,22526,19081,1
5,Sedgwick,CO,0,Republican,0.0,8,Democrat,38.1,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,13,Democrat,61.9,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,0,0.0,0,0.0,2348,2379,-1.3,5.2,20.3,24.4,50.0,95.4,0.5,1.0,1.4,0.0,1.7,15.1,82.1,230,3.2,86.8,15.0,1408,12.9,68.6,81400,1,943,2.47,78.5,10.3,18.9,40221,21536,18.9,16,0,0,333,14305,4.3,548.04,21,0,1
6,Clatsop,OR,0,Republican,0.0,3334,Democrat,55.9,0,Republican,0.0,0,Republican,0.0,2391,Republican,69.9,2628,Democrat,44.1,0,Republican,0.0,594,Republican,17.4,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,434,Republican,12.7,0,0.0,0,0.0,37474,37039,1.2,5.3,19.6,19.3,50.6,93.1,0.9,1.3,1.6,0.3,2.8,8.1,86.1,3979,5.8,91.5,23.2,21801,21.5,62.7,256500,102,15749,2.3,81.1,8.2,18.2,44683,25680,16.5,1605,6836,755,6044,16299,44.7,829.05,5962,3419,1
7,Forest,PA,0,Republican,0.0,221,Democrat,45.9,0,Republican,0.0,0,Republican,0.0,597,Republican,63.7,251,Democrat,52.1,0,Republican,0.0,138,Republican,14.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,180,Republican,19.2,0,0.0,0,0.0,7518,7716,-2.6,1.5,7.4,21.3,32.9,79.4,19.0,0.5,0.2,0.0,0.9,5.9,74.6,1008,1.0,81.6,7.8,8675,1.7,83.1,83600,4,2001,2.37,85.8,5.9,26.7,36556,13646,16.3,83,0,0,192,2779,18.1,427.19,472,915,0
8,Barton,MO,0,Republican,0.0,214,Democrat,50.2,0,Republican,0.0,0,Republican,0.0,986,Republican,34.1,205,Democrat,48.1,0,Republican,0.0,170,Republican,5.9,103,Republican,3.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1560,Republican,53.9,0,0.0,0,0.0,12057,12402,-2.8,5.7,25.0,18.6,50.7,94.7,0.8,1.3,0.5,0.1,2.6,2.5,92.9,991,2.2,85.8,16.9,5568,7.9,75.3,84700,2,5065,2.42,89.0,3.2,19.3,40580,20678,18.7,84,1743,760,1351,10623,21.0,591.92,419,2819,0
9,McCurtain,OK,124,Republican,9.1,1314,Democrat,52.3,0,Republican,0.0,0,Republican,0.0,472,Republican,34.7,712,Democrat,28.3,0,Republican,0.0,41,Republican,3.0,221,Republican,16.3,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,473,Republican,34.8,0,0.0,0,0.0,33050,33151,-0.3,7.3,25.7,17.0,51.0,67.2,8.7,15.9,0.6,0.8,6.8,5.5,63.5,2605,1.5,80.8,13.9,15578,7.5,68.1,71500,8,13078,2.49,87.8,4.0,22.2,31790,17615,26.1,216,13616,957,2610,7800,17.9,1850.01,2026,1331,1
10,Screven,GA,144,Republican,8.2,166,Democrat,17.5,0,Republican,0.0,0,Republican,0.0,801,Republican,45.8,771,Democrat,81.1,0,Republican,0.0,71,Republican,4.1,327,Republican,18.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,380,Republican,21.7,0,0.0,0,0.0,14085,14593,-3.5,6.6,22.7,16.8,51.2,56.2,41.7,0.4,0.5,0.0,1.3,1.7,55.1,946,0.4,78.9,13.0,6650,5.9,70.8,77000,10,5165,2.72,88.2,1.8,28.7,34848,18640,27.0,82,1838,175,935,6219,22.6,645.1,937,1723,0
11,Humphreys,MS,0,Republican,0.0,134,Democrat,4.4,0,Republican,0.0,0,Republican,0.0,433,Republican,54.1,2894,Democrat,94.2,0,Republican,0.0,62,Republican,7.7,48,Republican,6.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,126,Republican,15.7,0,0.0,0,0.0,8741,9375,-6.8,7.4,27.4,14.2,52.9,23.5,75.0,0.1,0.4,0.1,1.0,2.5,22.0,499,0.8,64.1,10.9,3832,11.7,54.3,63000,0,3107,2.95,88.9,0.8,19.0,23600,12874,44.9,43,0,151,813,8198,22.4,418.49,3028,669,1
12,Fairfax,VA,4095,Republican,3.1,50217,Democrat,36.4,0,Republican,0.0,0,Republican,0.0,32751,Republican,25.1,86898,Democrat,63.0,0,Republican,0.0,22862,Republican,17.5,52257,Republican,40.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,16888,Republican,12.9,0,0.0,0,0.0,1137538,1081726,5.2,6.7,23.8,11.5,50.5,66.6,10.0,0.7,19.2,0.1,3.5,16.4,52.0,83545,29.5,91.8,58.6,410287,27.9,69.0,476600,2249,389908,2.8,85.7,37.3,32.0,110292,50532,5.9,27057,20526,132994,140023,13925,2766.8,390.97,137115,128853,1
13,Boone,AR,478,Republican,7.5,469,Democrat,38.5,0,Republican,0.0,0,Republican,0.0,2577,Republican,40.7,721,Democrat,59.2,0,Republican,0.0,267,Republican,4.2,1213,Republican,19.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1589,Republican,25.1,0,0.0,0,0.0,37196,36903,0.8,6.0,22.6,19.8,50.8,96.3,0.4,0.8,0.6,0.1,1.8,2.3,94.3,3280,1.3,85.4,15.4,16904,9.5,72.6,106400,12,15086,2.43,83.8,2.5,19.7,38506,22160,16.6,418,0,0,4668,12738,62.5,590.23,1190,6124,0
14,Essex,VT,103,Republican,4.9,3622,Democrat,86.6,0,Republican,0.0,0,Republican,0.0,488,Republican,23.4,549,Democrat,13.1,0,Republican,0.0,713,Republican,34.2,474,Republican,22.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,269,Republican,12.9,0,0.0,0,0.0,6125,6306,-2.9,4.3,17.6,23.3,49.6,97.2,0.4,0.6,0.4,0.0,1.4,1.3,96.1,659,4.2,83.3,14.7,5040,7.5,81.0,122200,9,2774,2.26,91.2,8.7,27.5,35916,20887,15.9,30,627,0,150,2325,9.5,663.6,4171,2047,1
15,Macon,IL,0,Republican,0.0,4990,Democrat,45.2,0,Republican,0.0,0,Republican,0.0,6655,Republican,40.3,5945,Democrat,53.8,0,Republican,0.0,1975,Republican,12.0,963,Republican,5.8,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,6574,Republican,39.8,0,0.0,0,0.0,108350,110768,-2.2,6.2,22.4,17.9,52.2,78.9,17.1,0.3,1.2,0.0,2.6,2.1,77.2,9711,2.1,88.1,22.3,50353,17.4,69.2,93300,53,45142,2.36,84.0,3.4,18.2,46559,26232,17.6,1708,95908,0,14506,13342,190.8,580.69,10935,16167,0
16,Wheeler,NE,0,Republican,0.0,3,Democrat,50.0,0,Republican,0.0,0,Republican,0.0,79,Republican,60.8,3,Democrat,50.0,0,Republican,0.0,15,Republican,11.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,20,Republican,15.4,0,0.0,0,0.0,766,818,-6.4,6.4,20.1,21.9,49.3,98.8,0.0,0.1,0.5,0.0,0.5,0.9,97.9,71,1.6,95.2,17.5,576,1.4,71.2,87100,0,379,2.29,95.2,0.0,14.0,38807,25898,16.0,0,0,0,0,0,1.4,575.18,6,114,0
17,Hunterdon,NJ,0,Republican,0.0,5047,Democrat,48.4,0,Republican,0.0,0,Republican,0.0,12450,Republican,75.9,5373,Democrat,51.6,0,Republican,0.0,3051,Republican,18.6,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,898,Republican,5.5,0,0.0,0,0.0,126067,128349,-1.0,3.9,21.2,15.7,50.6,92.0,2.7,0.2,3.7,0.1,1.2,6.2,86.5,7291,8.4,94.2,47.6,49705,14.9,84.5,404300,348,46816,2.61,91.7,10.8,33.6,106143,50349,4.0,1757,0,6294,21866,16865,300.0,427.82,10420,16399,0
18,Grant,AR,125,Republican,3.9,300,Democrat,28.8,0,Republican,0.0,0,Republican,0.0,1010,Republican,31.2,690,Democrat,66.3,0,Republican,0.0,59,Republican,1.8,652,Republican,20.1,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1329,Republican,41.1,0,0.0,0,0.0,18144,17853,1.6,5.7,23.5,16.1,50.3,94.8,2.8,0.5,0.4,0.0,1.4,2.6,92.7,1594,1.9,84.9,17.6,7837,4.7,77.8,100800,9,6855,2.59,90.3,3.1,29.9,49004,23239,9.9,101,4898,485,1076,6148,28.3,631.81,990,3175,0
19,Umatilla,OR,0,Republican,0.0,2289,Democrat,53.3,0,Republican,0.0,0,Republican,0.0,5065,Republican,70.4,2003,Democrat,46.7,0,Republican,0.0,875,Republican,12.2,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1252,Republican,17.4,0,0.0,0,0.0,76705,75889,1.1,7.2,25.8,14.1,47.7,90.9,1.1,4.3,1.1,0.2,2.4,25.7,67.3,6356,10.0,81.9,15.5,29700,17.2,63.8,142700,93,26744,2.7,82.4,20.8,16.9,48389,20836,16.5,1593,0,2845,7636,10482,23.6,3215.51,4292,7192,0
20,Pepin,WI,0,Republican,0.0,560,Democrat,56.1,0,Republican,0.0,0,Republican,0.0,607,Republican,45.4,435,Democrat,43.6,0,Republican,0.0,154,Republican,11.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,546,Republican,40.8,0,0.0,0,0.0,7335,7469,-1.8,5.2,21.9,20.8,50.0,98.1,0.6,0.3,0.3,0.0,0.7,1.4,96.9,557,1.0,90.0,17.1,3612,13.7,77.4,134800,18,3085,2.36,93.2,5.8,25.5,47701,24367,12.5,0,0,1346,900,12207,32.2,231.98,995,1307,0
21,DeKalb,GA,1772,Republican,4.0,32572,Democrat,28.3,0,Republican,0.0,0,Republican,0.0,11141,Republican,25.2,82348,Democrat,71.5,0,Republican,0.0,5563,Republican,12.6,18231,Republican,41.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,6805,Republican,15.4,0,0.0,0,0.0,722161,691893,4.4,7.3,23.7,10.4,52.5,36.7,54.8,0.5,5.9,0.1,2.0,8.9,29.9,41447,16.3,88.4,39.7,306954,36.2,56.7,168900,1231,264496,2.59,81.2,18.6,30.7,50856,28810,19.0,12077,74890,93611,79733,10867,2585.7,267.58,114920,43512,1
22,Bon Homme,SD,0,Republican,0.0,197,Democrat,46.7,0,Republican,0.0,0,Republican,0.0,343,Republican,67.5,225,Democrat,53.3,0,Republican,0.0,71,Republican,14.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,94,Republican,18.5,0,0.0,0,0.0,7023,7070,-0.6,4.5,19.4,20.0,42.0,89.7,1.3,7.4,0.2,0.0,1.3,2.2,88.0,671,1.1,88.6,17.9,2946,11.2,77.6,69700,20,2501,2.29,82.8,7.2,18.3,40980,20941,14.7,22,0,431,407,5807,12.5,563.7,422,508,0
23,Sunflower,MS,0,Republican,0.0,299,Democrat,11.3,0,Republican,0.0,0,Republican,0.0,897,Republican,61.1,2332,Democrat,87.8,0,Republican,0.0,163,Republican,11.1,71,Republican,4.8,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,306,Republican,20.8,0,0.0,0,0.0,27496,29450,-6.6,6.3,23.3,11.6,47.2,25.8,73.0,0.3,0.4,0.0,0.6,1.5,25.0,1321,0.7,70.2,13.0,9698,15.7,58.6,69500,7,8394,2.92,83.3,2.4,18.0,26619,12588,36.1,150,0,0,2113,6825,42.2,697.75,2631,1437,1
24,Monroe,IA,25,Republican,4.6,133,Democrat,44.6,4,Republican,0.7,2,Republican,0.4,170,Republican,31.4,129,Democrat,43.3,3,Republican,0.6,4,Republican,0.7,97,Republican,17.9,36,Democrat,12.1,18,Republican,3.3,23,Republican,4.3,0,Republican,0.0,195,Republican,36.0,0,0.0,0,0.0,8001,7970,0.4,5.5,23.6,19.0,49.8,97.3,0.6,0.1,0.8,0.0,1.2,2.4,95.2,645,4.3,86.7,19.3,3892,7.9,75.5,95200,82,3361,2.34,84.8,5.1,25.1,45997,24508,11.8,0,0,461,624,8256,18.4,433.72,298,541,0
25,Midland,MI,0,Republican,0.0,4568,Democrat,58.7,0,Republican,0.0,0,Republican,0.0,3909,Republican,27.8,3097,Democrat,39.8,0,Republican,0.0,3366,Republican,23.9,1506,Republican,10.7,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,4720,Republican,33.5,0,0.0,0,0.0,83427,83629,-0.2,5.2,21.9,16.4,50.8,94.2,1.4,0.5,2.4,0.1,1.4,2.5,92.0,5991,3.8,92.2,32.3,36274,14.7,75.4,128600,262,33717,2.45,85.4,4.9,19.9,53076,29536,13.4,1080,28212,0,8692,10524,162.0,516.25,7665,13501,0
26,Ouachita,AR,156,Republican,5.7,525,Democrat,18.8,0,Republican,0.0,0,Republican,0.0,1006,Republican,36.7,2095,Democrat,75.1,0,Republican,0.0,61,Republican,2.2,662,Republican,24.2,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,789,Republican,28.8,0,0.0,0,0.0,24828,26120,-5.0,6.2,23.0,18.3,52.6,57.0,40.3,0.4,0.5,0.1,1.8,2.2,55.4,2039,1.0,84.7,15.5,13067,8.9,66.3,70000,3,10733,2.36,89.4,1.6,22.7,32015,18975,23.1,146,0,0,1856,7135,35.6,732.78,2620,2674,0
27,Franklin,PA,0,Republican,0.0,4273,Democrat,47.0,0,Republican,0.0,0,Republican,0.0,15631,Republican,57.7,4700,Democrat,51.7,0,Republican,0.0,3660,Republican,13.5,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,6937,Republican,25.6,0,0.0,0,0.0,152892,149618,2.2,6.1,22.9,18.2,51.0,92.9,3.9,0.3,1.1,0.1,1.8,5.0,89.0,13036,3.5,85.3,19.3,64125,15.7,73.0,177500,356,58273,2.54,88.1,7.2,23.2,52637,25741,11.0,1645,32443,0,17499,12323,193.7,772.22,8973,26228,0
28,Coconino,AZ,0,Republican,0.0,6941,Democrat,53.4,0,Republican,0.0,0,Republican,0.0,3324,Republican,39.2,5738,Democrat,44.1,0,Republican,0.0,742,Republican,8.7,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2843,Republican,33.5,0,0.0,0,0.0,137682,134421,2.4,6.1,21.8,11.1,50.6,66.4,1.6,27.3,1.8,0.2,2.8,13.9,54.9,8084,5.3,87.6,31.1,64217,19.1,59.5,220400,560,46198,2.74,79.8,23.5,18.7,49555,23382,23.0,7176,15268,4756,16916,13273,7.2,18618.89,12679,6909,1
29,Coshocton,OH,0,Republican,0.0,1128,Democrat,44.5,0,Republican,0.0,0,Republican,0.0,2747,Republican,42.1,1358,Democrat,53.6,0,Republican,0.0,2621,Republican,40.2,148,Republican,2.3,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,874,Republican,13.4,0,0.0,0,0.0,36516,36901,-1.0,6.0,23.5,17.9,50.5,96.9,1.2,0.3,0.3,0.0,1.2,0.9,96.2,3352,0.5,84.9,12.3,16356,10.5,73.9,93300,3,14495,2.51,88.8,5.3,23.9,41274,20526,16.9,226,12228,0,2591,7151,65.4,563.91,2486,6390,0
30,Calhoun,IL,0,Republican,0.0,503,Democrat,50.7,0,Republican,0.0,0,Republican,0.0,329,Republican,48.5,446,Democrat,45.0,0,Republican,0.0,50,Republican,7.4,40,Republican,5.9,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,247,Republican,36.4,0,0.0,0,0.0,4956,5089,-2.6,5.2,20.4,22.8,49.9,98.8,0.3,0.2,0.3,0.0,0.4,1.1,97.7,444,1.6,89.0,14.4,2835,5.7,81.5,112300,12,2061,2.41,90.9,1.6,39.6,50436,26924,11.9,53,0,0,223,4376,20.0,253.83,949,666,1
31,Wibaux,MT,0,Republican,0.0,16,Democrat,26.7,0,Republican,0.0,0,Republican,0.0,231,Republican,76.0,36,Democrat,60.0,0,Republican,0.0,21,Republican,6.9,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,25,Republican,8.2,0,0.0,0,0.0,1121,1017,10.2,4.6,21.3,24.6,48.9,97.7,0.1,0.4,0.4,0.1,1.2,2.5,95.4,82,0.4,84.0,19.6,536,6.8,70.9,102700,5,409,2.22,91.1,0.3,16.9,41875,27492,13.3,10,0,0,43,4767,1.1,889.27,52,277,0
32,Carroll,GA,1261,Republican,7.0,1933,Democrat,37.6,0,Republican,0.0,0,Republican,0.0,7495,Republican,41.7,3173,Democrat,61.7,0,Republican,0.0,650,Republican,3.6,3375,Republican,18.8,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,4997,Republican,27.8,0,0.0,0,0.0,114093,110527,3.2,6.4,24.2,12.5,50.9,77.3,19.1,0.5,1.0,0.1,2.0,6.5,71.8,7343,4.4,79.7,18.3,44757,13.7,66.7,118500,111,39494,2.72,80.4,7.7,28.5,46147,21227,18.9,1424,31755,9858,12524,11190,221.5,499.08,5106,17778,0
33,Racine,WI,0,Republican,0.0,14651,Democrat,50.8,0,Republican,0.0,0,Republican,0.0,11756,Republican,32.1,14086,Democrat,48.9,0,Republican,0.0,5269,Republican,14.4,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,18698,Republican,51.1,0,0.0,0,0.0,195163,195408,-0.1,6.2,23.9,14.7,50.5,84.2,11.7,0.6,1.3,0.1,2.2,12.5,73.1,14054,5.0,87.8,23.0,82265,27.2,69.5,170100,207,75087,2.53,89.2,9.0,23.2,54090,27141,13.3,2426,78633,0,22300,11172,587.7,332.5,28737,35723,0
34,Uintah,UT,0,Republican,0.0,135,Democrat,76.3,0,Republican,0.0,0,Republican,0.0,575,Republican,19.8,39,Democrat,22.0,0,Republican,0.0,184,Republican,6.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,2144,Republican,73.9,0,0.0,0,0.0,36867,32588,13.1,9.8,33.8,9.1,49.1,88.4,0.6,7.7,0.5,0.5,2.2,8.0,82.0,1934,3.7,86.2,16.2,13176,11.2,75.0,187900,322,11007,3.04,85.1,8.6,19.0,62067,23805,11.6,465,0,0,4614,15958,7.3,4479.69,174,2903,0
35,Mason,WV,0,Republican,0.0,1769,Democrat,51.6,0,Republican,0.0,0,Republican,0.0,2484,Republican,75.1,1221,Democrat,35.6,0,Republican,0.0,297,Republican,9.0,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,254,Republican,7.7,0,0.0,0,0.0,27016,27324,-1.1,5.3,21.2,18.8,51.9,97.4,0.9,0.2,0.4,0.1,1.1,0.6,96.8,2950,0.4,81.7,10.0,12945,6.5,79.5,83900,1,10609,2.5,89.7,1.3,26.3,38411,20622,19.0,120,0,0,1353,5320,63.4,430.75,2990,3035,0
36,Livingston,NY,0,Republican,0.0,2410,Democrat,59.9,0,Republican,0.0,0,Republican,0.0,3744,Republican,56.8,1611,Democrat,40.1,0,Republican,0.0,1603,Republican,24.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,1247,Republican,18.9,0,0.0,0,0.0,64586,65393,-1.0,4.3,18.7,15.8,49.9,93.7,3.0,0.4,1.4,0.0,1.5,3.4,90.9,4932,2.9,89.2,24.4,27315,17.8,74.4,119300,62,24092,2.44,86.2,5.9,24.6,53518,23978,13.4,708,4639,2198,5864,9291,103.5,631.76,4021,6594,0
37,Lehigh,PA,0,Republican,0.0,17742,Democrat,47.0,0,Republican,0.0,0,Republican,0.0,20891,Republican,55.7,19767,Democrat,52.4,0,Republican,0.0,7064,Republican,18.8,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,8810,Republican,23.5,0,0.0,0,0.0,357823,349497,2.3,5.9,22.8,16.0,51.3,84.7,8.4,0.8,3.5,0.1,2.4,21.5,68.1,23497,9.8,86.8,28.1,143377,23.9,67.5,196600,773,133289,2.57,85.4,22.1,24.2,54923,27923,13.7,5462,70315,0,50812,15047,1012.5,345.17,37509,36765,1
38,Boone,IN,0,Republican,0.0,2555,Democrat,55.2,0,Republican,0.0,0,Republican,0.0,7023,Republican,45.7,2075,Democrat,44.8,0,Republican,0.0,1728,Republican,11.3,0,Republican,0.0,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,6223,Republican,40.5,0,0.0,0,0.0,61915,56640,9.3,6.6,27.0,12.6,50.5,94.4,1.5,0.3,2.3,0.0,1.4,2.6,92.1,3333,3.4,93.5,41.0,25212,13.7,76.8,179000,526,21908,2.62,89.4,4.4,24.1,67255,37482,7.5,544,0,3863,4844,8970,133.9,422.91,4630,14974,0
39,Richland,IL,0,Republican,0.0,543,Democrat,53.6,0,Republican,0.0,0,Republican,0.0,1469,Republican,48.4,448,Democrat,44.2,0,Republican,0.0,411,Republican,13.5,166,Republican,5.5,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,865,Republican,28.5,0,0.0,0,0.0,16061,16233,-1.1,5.8,22.0,20.0,50.6,97.2,0.6,0.2,0.8,0.0,1.1,1.5,95.9,1469,1.6,90.6,20.4,7478,10.2,74.9,78100,4,6620,2.41,88.9,3.7,17.5,44070,23621,14.2,142,945,2503,1614,10346,45.1,359.99,991,2911,0
40,Barry,MO,0,Republican,0.0,796,Democrat,47.0,0,Republican,0.0,0,Republican,0.0,3030,Republican,43.1,874,Democrat,51.6,0,Republican,0.0,400,Republican,5.7,255,Republican,3.6,0,Democrat,0.0,0,Republican,0.0,0,Republican,0.0,0,Republican,0.0,3189,Republican,45.4,0,0.0,0,0.0,35662,35597,0.2,6.4,23.0,20.2,50.2,95.1,0.5,1.3,1.4,0.1,1.7,8.8,87.1,3445,4.4,82.2,13.3,17384,7.3,75.9,107500,13,13464,2.62,83.9,8.0,22.4,38710,19489,19.1,257,14098,1347,4137,11466,45.7,778.25,1670,6874,0
